timestamp,ft_weight,pos_ft_weight,epoch,train_loss,val_loss,val_acc,val_fp
20230807_184320,0.74,0,13,2.456092338235271,0.3524169663333485,0.9670725464820862,5.684759616851807
20230807_184417,0.76,0,12,2.4437282371316784,0.3463780040669645,0.9646100997924805,5.9155354499816895
20230807_184514,0.78,0,11,2.4110152638443534,0.3269159258940281,0.9673982858657837,5.7935309410095215
20230807_184611,0.8,0,13,2.614831227944801,0.37950573313949454,0.966137707233429,5.635484218597412
20230807_184708,0.8200000000000001,0,15,2.656201596688918,0.3860475251562575,0.9629325866699219,5.71010684967041
20230807_184807,0.84,0,12,2.6297176292672657,0.4144441122427965,0.9572650194168091,5.555295944213867
20230807_184906,0.86,0,14,2.592679961718124,0.4258397860914214,0.9631996750831604,5.284754753112793
20230807_185004,0.88,0,14,2.490838163287022,0.3700593820749185,0.9694764018058777,5.554751873016357
20230807_185101,0.9,0,15,2.985812920829724,0.5958891712192796,0.944503128528595,4.7777299880981445
20230807_185159,0.92,0,13,2.922794568717352,0.44306913998901337,0.957932710647583,5.478806495666504
20230807_185256,0.9400000000000001,0,14,3.0595355600565353,0.5243602117412111,0.9534507393836975,4.987062454223633
20230807_185353,0.96,0,13,31.552494925145673,0.6755264057562902,0.9202724695205688,6.073117733001709
20230807_185450,0.98,0,15,21.559450781064573,0.7630527095916944,0.905048131942749,5.5238165855407715
20230807_185547,1.0,0,15,2.9503010935140117,0.5548590100728549,0.9527081251144409,4.963817596435547
20230807_185645,1.02,0,13,16.573576065406556,0.708144520337765,0.9214743971824646,5.918529510498047
20230807_185742,1.04,0,12,21.226195835199295,0.8055261995038415,0.8989635705947876,6.070327281951904
20230807_185840,1.06,0,15,59.648493309347735,0.9347104137269859,0.8892895579338074,5.206913471221924
20230807_185937,1.08,0,15,17.903751729132022,0.8908308046495813,0.9017517566680908,5.184070587158203
20230807_190034,1.1,0,14,46.20179877342453,0.932729256968213,0.8952242732048035,4.994073867797852
20230807_190131,1.12,0,15,24.8580193657436,0.9671332438786825,0.903637707233429,4.444396495819092
20230807_190230,1.1400000000000001,0,11,62.27800284412229,0.9115467155591036,0.8932960033416748,5.256359577178955
20230807_190327,1.16,0,14,243.56352059693103,1.067302430796827,0.8718535304069519,6.022680282592773
20230807_190426,1.18,0,12,51.953391333463614,0.9605102465193496,0.8856675028800964,6.160461902618408
20230807_190524,1.2,0,14,360.9961214759876,1.2807685793974461,0.847782552242279,5.957213878631592
20230807_190623,1.22,0,10,360.36407873615207,1.1202757791576223,0.8697167634963989,5.839149475097656
20230807_190721,1.24,0,10,186.16262903254344,1.1215029053198986,0.8724463582038879,5.946209907531738
20230807_190819,1.26,0,12,215.6107776343695,1.0578873503921378,0.8781302571296692,6.566761493682861
20230807_190916,1.28,0,13,314.25520241286057,1.31382112013988,0.8613619208335876,4.913111686706543
20230807_191014,1.3,0,11,365.4236165144714,1.180112161188044,0.8730554580688477,6.9641218185424805
20230807_191111,1.32,0,12,431.3406129975901,1.322491469546261,0.8521472215652466,7.896420478820801
20230807_191209,1.34,0,15,434.4355251171349,1.5702998459848583,0.8345189690589905,6.983654022216797
20230807_191307,1.36,0,15,513.0781385148108,1.5422165088164501,0.8437174558639526,4.540319919586182
20230807_191410,1.3800000000000001,0,13,556.2015875840851,1.351137817924858,0.868231475353241,6.955481052398682
20230807_191513,1.4000000000000001,0,14,544.3002259664923,1.3834445089356513,0.8556943535804749,5.335714817047119
20230807_191616,1.42,0,13,715.4136155126437,1.760073096324236,0.8141710162162781,6.510179042816162
20230807_191720,1.44,0,14,844.6695674451056,1.4080987241533067,0.8623554110527039,6.573919296264648
20230807_191823,1.46,0,15,688.916994827973,1.4077206985053854,0.8594759702682495,8.788908958435059
20230807_191928,1.48,0,12,889.8499120430466,2.456657829447689,0.7284761667251587,8.445403099060059
20230807_192032,1.5,0,14,817.1751881850608,1.7114064774961553,0.8315060138702393,5.449800491333008
20230807_192136,1.52,0,0,0,0,0,0
20230807_192241,1.54,0,15,869.8224121232615,1.843437526980017,0.8227342963218689,4.777766704559326
20230807_192345,1.56,0,14,1102.528477962829,1.739710301415533,0.8297699093818665,5.758903503417969
20230807_192449,1.58,0,14,1415.114079557088,1.9046153849006717,0.8052982687950134,7.373734951019287
20230807_192552,1.6,0,10,1168.2289823046078,2.2226503506684914,0.7678465247154236,6.012626647949219
20230807_192656,1.62,0,11,1168.8832891247769,1.6960379435465887,0.8374994397163391,5.162678241729736
20230807_192800,1.6400000000000001,0,14,1334.4536209576136,1.967445479498969,0.812451183795929,6.2137980461120605
20230807_192904,1.6600000000000001,0,12,1720.4048788613884,2.008778714726114,0.8066337704658508,5.9743123054504395
20230807_193007,1.68,0,11,1770.910942747455,2.9738654601268277,0.7094115018844604,3.6338343620300293
20230807_193111,1.7,0,12,2140.4003225608353,5.164228602352305,0.4905475080013275,2.5469446182250977
20230807_193215,1.72,0,12,2461.235736801997,3.3746915373027835,0.6689565777778625,5.835938930511475
20230807_193318,1.74,0,12,2094.8978887472213,2.219106491814312,0.7826864719390869,4.833524227142334
20230807_193421,1.76,0,8,1759.2464889795929,3.0159512095981174,0.7316226363182068,5.386131763458252
20230807_193523,1.78,0,15,2216.908385336016,3.060725922258491,0.7155383825302124,8.395272254943848
20230807_193626,1.8,0,13,2658.974706760055,3.753543568472577,0.6523706316947937,3.010538101196289
20230807_193730,1.82,0,14,2620.1353440335783,3.2987791371141744,0.7320559024810791,6.937754154205322
20230807_193833,1.84,0,14,3465.366315494513,9.36017205980089,0.11661911755800247,1.0418615341186523
20230807_193936,1.86,0,15,2428.2029042254167,2.4752191865546074,0.7825790047645569,5.378494739532471
20230807_194040,1.8800000000000001,0,15,3674.036102490966,9.829332808144072,0.10313086956739426,0.673276424407959
20230807_194143,1.9000000000000001,0,13,2960.29324639788,7.236614043896015,0.43648701906204224,7.709836959838867
20230807_194245,1.92,0,14,3790.1164812173784,3.517670432726542,0.7055060863494873,10.415936470031738
20230807_194345,1.94,0,15,3430.1996877290453,3.0172519541194296,0.7508860230445862,5.032487869262695
20230807_194443,1.96,0,15,3530.987727931021,5.16914881600274,0.5365951657295227,2.8235697746276855
20230807_194540,1.98,0,11,3705.8894879914965,3.0621319581300783,0.7272481918334961,4.132486343383789
20230807_194638,2.0,0,11,4294.49008106828,4.431195526041536,0.6533315777778625,8.675732612609863
