Dataset,Backbone,Train Accuracy,ZSL Accuracy,Num ZSL Classes,Attributes,,,,,,
CUB,DeiT3Med,0.767272412776947,0.689630925655365,0.726382851600647,96,31,31,10,using 2*loss_mean_attr,,
CUB,DeiT3Med,0.7371825575828552,0.6974043250083923,0.7167419791221619,96,31,31,10,using 2*loss_mean_attr,,
CUB,DeiT3Med,0.7371825575828552,0.6974043250083923,0.720191240310669,96,31,31,10,using 2*loss_mean_attr,,
CUB,DeiT3Med,0.7468715310096741,0.7283783555030823,0.73750901222229,96,31,31,10,using 2*loss_mean_attr,,
CUB,DeiT3Med,0.7073000073432922,0.7823368906974792,0.7429285049438477,112,36,36,10,using 2*loss_mean_attr,,
CUB,DeiT3Med,0.7063849568367004,0.7445652484893799,0.7249728441238403,112,35,35,10,using 2*loss_mean_attr,,
CUB,DeiT3Med,0.7112807631492615,0.7622616291046143,0.7358892560005188,112,36,36,10,using 2*loss_mean_attr,,
CUB,DeiT3Med,0.7338719367980957,0.7317902445793152,0.7328296303749084,112,36,36,10,using 2*loss_mean_attr,,
CUB,DeiT3Med,0.7255707383155823,0.7149926424026489,0.7202427983283997,112,36,36,10,using 2*loss_mean_attr,,
CUB,DeiT3Med,0.735845685005188,0.743281900882721,0.7395451068878174,104,34,34,10,using 2*loss_mean_attr,,
CUB,DeiT3Med,0.7390817999839783,0.7403046488761902,0.7396926879882812,104,33,33,10,using 2*loss_mean_attr,,
CUB,DeiT3Med,0.7075194120407104,0.7695502042770386,0.7372322678565979,104,33,33,10,using 2*loss_mean_attr,,
CUB,DeiT3Med,0.7395079135894775,0.7361701726913452,0.7378352880477905,104,33,33,10,using 2*loss_mean_attr,,
CUB,DeiT3Med,0.7432250380516052,0.7430556416511536,0.7431402802467346,104,33,33,10,using 2*loss_mean_attr,,
CUB,DeiT3Med,0.31255725026130676,0.9174829721450806,0.46627089381217957,312,98,98,10,using 2*loss_mean_attr,,
CUB,DeiT3Med,0.32400521636009216,0.8544221520423889,0.4698418378829956,312,97,97,10,using 2*loss_mean_attr,,
,,,,,,,,,,,
AwA2,DeiT3Med,0.967868447303772,0.535517692565918,0.6895243525505066,32,16,10,10,10 Epochs,,
AwA2,DeiT3Med,0.951887309551239,0.6193523406982422,0.7504311800003052,40,20,12,10,,,
AwA2,DeiT3Med,0.9726284146308899,0.6115648150444031,0.7509504556655884,40,20,13,20,,,
AwA2,DeiT3Med,0.9610673189163208,0.6985793113708496,0.8090659379959106,48,24,15,10,,,
AwA2,DeiT3Med,0.9651476740837097,0.5818508267402649,0.7260148525238037,48,24,15,10,15 Epochs,,
AwA2,DeiT3Med,0.9564777612686157,0.6874439120292664,0.799946665763855,48,24,15,10,5 Epochs,,
AwA2,DeiT3Med,0.9731383323669434,0.39139893651008606,0.5582629442214966,48,14,14,10,10 Epochs,,
AwA2,DeiT3Med,0.9574970602989197,0.6651734709739685,0.7850042581558228,48,24,15,10,0*loss_mean_attr,,
AwA2,DeiT3Med,0.9651476740837097,0.6544221639633179,0.779977560043335,48,24,15,10,0*loss_mean_attr,,
AwA2,DeiT3Med,0.9529075026512146,0.6179444193840027,0.7497127652168274,48,24,14,10,0*loss_mean_attr,,
AwA2,DeiT3Med,0.9605575799942017,0.6354793906211853,0.7649128437042236,48,24,14,10,0*loss_mean_attr,,
AwA2,DeiT3Med,0.9182247519493103,0.7397927641868591,0.8194075226783752,48,24,16,10,using loss_mean_attr,,
AwA2,DeiT3Med,0.9328460097312927,0.7180339694023132,0.8114643692970276,48,24,16,10,using loss_mean_attr,,
AwA2,DeiT3Med,0.928085446357727,0.7205938696861267,0.8112829923629761,48,24,16,10,using loss_mean_attr,,
